symbol,score,distance
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-313.69786666666676,3574.312000000001
OPT,-193.95731111111112,2008.462
OPT,-193.95731111111112,2008.462
OPT,-193.95731111111112,2008.462
OPT,-149.1338,1813.898
OPT,-147.8513346938775,2060.1459999999997
OPT,-147.8513346938775,2060.1459999999997
OPT,-147.8513346938775,2060.1459999999997
OPT,-147.8513346938775,2060.1459999999997
OPT,-147.8513346938775,2060.1459999999997
OPT,-147.8513346938775,2060.1459999999997
OPT,-147.8513346938775,2060.1459999999997
OPT,-147.8513346938775,2060.1459999999997
OPT,-129.321,1514.65
OPT,-129.321,1514.65
OPT,-110.57100000000003,1321.5500000000002
OPT,-88.01040000000003,1100.2640000000001
OPT,-86.95540000000001,873.5540000000001
OPT,-85.0744,972.7439999999999
OPT,-81.57452653061229,1127.5820000000003
OPT,-75.27090000000001,765.7090000000001
OPT,-63.37339999999999,826.4839999999999
OPT,-59.8609111111111,715.4979999999999
OPT,-59.133428571428574,649.62
OPT,-58.1337,613.337
OPT,-54.74970000000001,1147.497
OPT,-50.04789999999999,786.2389999999999
OPT,-47.1565,491.565
OPT,-47.11989999999999,786.2389999999999
OPT,-46.859399999999994,605.2339999999999
OPT,-45.50931404958678,641.87
OPT,-45.1565,491.565
OPT,-43.156133333333344,594.2280000000001
OPT,-43.156133333333344,594.2280000000001
OPT,-41.77964081632653,610.776
OPT,-40.9084,573.084
OPT,-40.508399999999995,530.8439999999999
OPT,-40.059000000000005,590.59
OPT,-40.059000000000005,590.59
OPT,-38.814477777777775,502.36699999999996
OPT,-38.3026,579.026
OPT,-35.5565,535.5649999999999
OPT,-34.92980000000001,438.298
OPT,-32.844779338842976,563.423
OPT,-32.844779338842976,563.423
OPT,-31.780299999999997,417.003
OPT,-31.520899999999997,829.209
OPT,-31.091733333333337,782.5840000000001
OPT,-30.80281111111111,600.917
OPT,-30.534399999999998,374.34399999999994
OPT,-29.747511111111116,318.36400000000003
OPT,-29.465300000000006,519.013
OPT,-29.045077777777777,563.423
OPT,-28.970444444444446,481.26
OPT,-28.58860000000001,403.8860000000001
OPT,-28.2487,613.247
OPT,-27.115299999999998,383.153
OPT,-27.095400000000012,595.9540000000001
OPT,-26.358877777777778,490.811
OPT,-26.31750000000001,369.17500000000007
OPT,-26.1335,265.335
OPT,-26.11877777777778,363.40999999999997
OPT,-25.903777777777783,481.26
OPT,-25.54884444444444,355.044
OPT,-25.54884444444444,355.044
OPT,-24.65445000000001,519.9820000000001
OPT,-24.65445000000001,519.9820000000001
OPT,-23.655999999999995,493.3999999999999
OPT,-23.23075,621.245
OPT,-22.63503333333334,629.017
OPT,-22.46016326530612,1033.52
OPT,-22.312424489795916,384.512
OPT,-21.708699999999993,600.6469999999999
OPT,-21.560100000000002,368.601
OPT,-21.175344444444438,451.30899999999997
OPT,-20.997200000000003,230.722
OPT,-20.8622,451.022
OPT,-20.603,470.03
OPT,-19.170733333333335,358.374
OPT,-18.701900000000002,231.019
OPT,-18.544804958677673,795.1339999999999
OPT,-17.947900000000004,355.22900000000004
OPT,-17.930000000000003,191.3
OPT,-17.642334693877554,322.05600000000004
OPT,-17.6348,336.988
OPT,-17.5078,420.078
OPT,-17.474024489795923,404.128
OPT,-16.812800000000003,404.128
OPT,-16.7115,220.115
OPT,-15.92991111111111,496.18800000000005
OPT,-15.595328571428567,786.2389999999999
OPT,-15.264111111111113,173.53
OPT,-14.5741603305785,528.2539999999999
OPT,-13.7375,202.175
OPT,-13.7375,202.175
OPT,-13.647524489795916,449.86299999999994
OPT,-13.605344444444448,211.60900000000004
OPT,-13.575299999999999,398.313
OPT,-13.575299999999999,398.313
OPT,-13.527299999999997,331.27299999999997
OPT,-13.37755,428.21299999999997
OPT,-13.348246745562122,511.87299999999993
OPT,-12.969800000000001,165.698
OPT,-12.872044444444445,196.276
OPT,-12.864481632653067,266.60400000000004
OPT,-12.864481632653067,266.60400000000004
OPT,-12.758766666666666,577.9209999999999
OPT,-12.758766666666666,577.9209999999999
OPT,-12.628163265306119,282.2
OPT,-12.610697959183675,219.65800000000002
OPT,-12.552077551020407,390.582
OPT,-12.510611111111118,509.99500000000006
OPT,-12.483277777777772,223.05499999999995
OPT,-12.3431,298.181
OPT,-12.156100000000002,174.56100000000004
OPT,-12.027549999999998,428.21299999999997
OPT,-11.936944444444443,346.92499999999995
OPT,-11.742549999999994,449.86299999999994
OPT,-11.707700000000003,245.827
