symbol,score,distance
Safest Routes,-1138.1584846938774,7856.145
Safest Routes,-1058.6713499999998,7459.808999999999
Safest Routes,-1051.6033499999999,7364.6889999999985
Safest Routes,-1043.7088499999998,7459.808999999999
Safest Routes,-1041.9463499999997,7459.808999999999
Safest Routes,-1041.6963499999997,7459.808999999999
Safest Routes,-1016.6033499999998,7364.6889999999985
Safest Routes,-1016.6033499999998,7364.6889999999985
Shortest Routes,-783.5639,7939.478999999999
Shortest Routes,-783.5479,7939.478999999999
Shortest Routes,-779.7275,7986.025
Shortest Routes,-779.6585,7986.025
Shortest Routes,-769.1914999999999,7792.914999999999
Shortest Routes,-757.6269000000001,7778.829
Shortest Routes,-747.2471530612246,7856.145
Shortest Routes,-694.8520000000001,7502.92
Shortest Routes,-689.9809,7459.808999999999
Shortest Routes,-685.7133444444444,7364.688999999999
Shortest Routes,-675.3809,7459.808999999999
Shortest Routes,-675.0809,7459.808999999999
Shortest Routes,-673.3809,7459.808999999999
Shortest Routes,-662.6022333333333,7364.688999999999
Shortest Routes,-655.0466777777777,7364.688999999999
Shortest Routes,-655.0466777777777,7364.688999999999
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-649.0229347107438,5060.354
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-638.10458,4998.102000000001
Safest Routes,-531.127725,3800.664
Safest Routes,-516.239975,3756.579
Safest Routes,-489.4605,3531.82
Safest Routes,-489.2775000000001,3498.6000000000004
Safest Routes,-484.7619979591837,3474.1140000000005
Safest Routes,-480.8647500000001,3454.5150000000003
Safest Routes,-480.5110250000001,3781.1360000000004
Safest Routes,-458.7045553719007,3589.247999999999
Safest Routes,-458.7045553719007,3589.247999999999
Safest Routes,-458.7045553719007,3589.247999999999
Safest Routes,-458.7045553719007,3589.247999999999
Safest Routes,-458.7045553719007,3589.247999999999
Safest Routes,-458.7045553719007,3589.247999999999
Safest Routes,-458.7045553719007,3589.247999999999
Safest Routes,-458.7045553719007,3589.247999999999
Safest Routes,-433.03184421487595,3418.9009999999994
Safest Routes,-433.03184421487595,3418.9009999999994
Safest Routes,-433.03184421487595,3418.9009999999994
Safest Routes,-433.03184421487595,3418.9009999999994
Safest Routes,-433.03184421487595,3418.9009999999994
Safest Routes,-433.03184421487595,3418.9009999999994
Safest Routes,-433.03184421487595,3418.9009999999994
Safest Routes,-433.03184421487595,3418.9009999999994
Safest Routes,-420.02405,3011.427
Safest Routes,-415.99268888888895,2976.6920000000005
Safest Routes,-409.91099999999994,3045.24
Safest Routes,-402.0590000000001,2996.7400000000007
Safest Routes,-402.0590000000001,2996.7400000000007
Safest Routes,-392.17058125000005,2895.5070000000005
Safest Routes,-392.17058125000005,2895.5070000000005
Safest Routes,-391.95235,2743.869
Safest Routes,-381.86622500000004,2800.5040000000004
Safest Routes,-381.1688404958678,3139.6380000000004
Safest Routes,-381.1688404958678,3139.6380000000004
Safest Routes,-373.3728892561983,2833.384
Safest Routes,-373.0229999999999,2988.8199999999997
Safest Routes,-367.19179999999994,2727.442
Safest Routes,-360.703349704142,3046.0460000000003
Safest Routes,-352.5086999999999,2631.7279999999996
Safest Routes,-352.5086999999999,2631.7279999999996
Safest Routes,-352.5086999999999,2631.7279999999996
Safest Routes,-352.5086999999999,2631.7279999999996
Safest Routes,-347.18852499999997,2369.486
Safest Routes,-347.18852499999997,2369.486
Safest Routes,-347.18852499999997,2369.486
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
Shortest Routes,-341.5238918367348,4013.4430000000007
