,CTY_SCR_NAME,CTY_SCR_NBR_DY_01,CTY_SCR_NBR_DY_02,CTY_SCR_NBR_WK_01,CTY_SCR_NBR_WK_02,CTY_SCR_NBR_MO_01,CTY_SCR_NBR_MO_02,CTY_SCR_NBR_QT_01,CTY_SCR_NBR_QT_02,CTY_SCR_TGT_01,CTY_SCR_AVG_01,CTY_SCR_AVG_02,CTY_SCR_DEV_01,CTY_SCR_DEV_02,ETL_LOAD_DATE,ETL_LOAD_IS_ACTIVE_FLAG,CTY_SCR_OPEN_DATA_SOURCE,CTY_SCR_METRIC_TYPE,CTY_SCR_DAY,CTY_SCR_WEEK,CTY_SCR_MONTH,CTY_SCR_QUARTER,CTY_SCR_DAY_NAME
80,GRAFFITI ON-TIME %,1.0,4.0,1.0,14.0,0.8963415000000001,164.0,0.8642534,663.0,0.8,,,,,2016-12-30 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.25,1.25,1.1204268999999998,1.0803168,Thursday
81,MISSED TRASH ON-TIME %,1.0,28.0,0.9787234,141.0,0.9755725000000001,655.0,0.9852878,2310.0,0.8,,,,,2016-12-30 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.25,1.2234043,1.2194656000000001,1.2316098,Thursday
82,STABBINGS (TREND),0.0,,1.5714286,,1.516129,,1.5326087,,,1.3421053,1.4191919,1.3018206,1.3408973,2017-01-17 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,,1.6824983,1.7438661,1.8009093,Monday
83,BPS ATTENDANCE,0.9191663,,0.918643,,0.905487,,0.916414,,0.95,,,,,2017-01-18 00:00:00,N,,Target,0.9675435,0.9669926,0.9531441999999999,0.9646463,Tuesday
84,BFD RESPONSE TIME,0.7826086999999999,184.0,0.8217623,1498.0,0.839884,6208.0,0.8401533000000001,18524.0,0.9,,,,,2017-02-10 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.8695652,0.9130691999999999,0.9332043999999999,0.9335037,Thursday
85,EMS RESPONSE TIME,7.075,48.0,6.866666700000001,497.0,6.5333333,2222.0,6.5333333,6564.0,6.0,,,,,2017-02-10 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.8480565000000001,0.8737864,0.9183674000000001,0.9183674000000001,Thursday
86,311 CALL CENTER PERFORMANCE,0.9094475000000001,3059.0,0.8642035,8255.0,0.8679369,25874.0,0.8836860000000001,66587.0,0.95,,,,,2017-02-10 00:00:00,N,,Target,0.9573132,0.9096879000000001,0.9136178,0.9301958,Thursday
87,BFD INCIDENTS,188.0,,219.85714280000002,,206.93548380000001,,208.43478259999998,,,203.2903225,200.6086956,28.4876506,26.0645676,2017-02-10 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.2328616000000001,1.0542208,1.1200493999999999,1.0875021,Thursday
88,EMS INCIDENTS,260.0,,333.5714285,,309.3870967,,302.8804347,,,295.8709677,293.0,23.9231296,27.2989152,2017-02-10 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.2299773,0.9586975000000001,1.0336375,1.0575093999999998,Thursday
89,CITY SERVICES SATISFACTION SURVEYS,4.25,4.0,3.433333,30.0,4.128099,242.0,3.94106,509.0,4.0,,,,,2017-02-10 00:00:00,N,,Target,1.0625,0.8583333000000001,1.0320247999999999,0.985265,Thursday
