,CTY_SCR_DAY,CTY_SCR_NBR_DY_01
11409,1.2198851000000002,8112
7441,1.2214325000000001,7523
6053,1.2241796999999999,9437
10063,1.2328478999999999,8333
1972,1.2335078000000002,7397
6403,1.2473973999999999,8121
10484,1.2483038999999998,9488
5567,1.2488633999999998,7577
5747,1.2512788000000001,9429
9620,1.2575245000000002,8430
3939,1.2593111000000001,8051
8214,1.2595638999999998,9681
285,1.2675496000000002,9422
9779,1.2700673999999998,8391
9298,1.2710598999999998,8169
9545,1.2718201999999998,8207
11394,1.2814176000000002,8060
5998,1.2816254999999999,10010
8702,1.2853723999999997,7886
4183,1.2902703000000002,9997
7127,1.2966981000000002,10145
11134,1.3090988000000001,8070
2227,1.3145231000000002,7494
1402,1.3154616000000001,7993
5399,1.3341889999999998,7499
12146,1.3347011999999998,9944
5748,1.3571406000000001,9785
730,1.3714627000000001,9981
7361,1.3786371000000002,8081
11581,1.3834520000000001,8010
557,1.3855288000000001,10149
343,1.3969559999999999,7802
7746,1.3995893999999998,8428
10167,1.4032026000000002,9296
7510,1.4162981000000001,8181
9018,1.4277741000000002,10571
5522,1.4284313999999998,9485
5653,1.4349385000000001,9294
4715,1.4424951000000001,8497
6417,1.4466816999999998,8954
7411,1.4491516000000002,8224
4360,1.4601621999999999,8786
7691,1.4601743999999999,8379
6123,1.4613129999999999,9469
5707,1.4675671000000001,9768
9294,1.4691073000000001,9390
9693,1.4713174999999998,9009
6865,1.4752116000000002,9066
11906,1.4783311000000001,9078
4362,1.4798798999999998,8124
5732,1.4843476999999998,8915
9144,1.4869348999999998,8068
435,1.4999056999999998,11085
5956,1.5169356999999999,9824
2768,1.5306296999999998,9221
6794,1.5508891000000002,9276
2635,1.5522341999999998,10073
461,1.5665991000000001,8991
2520,1.5772068000000001,8553
7720,1.5804373999999999,9139
3104,1.5805643999999999,8994
9626,1.5832959999999998,10265
7271,1.5847943000000002,9437
3081,1.6063688999999999,10210
2531,1.6161165000000002,9808
5611,1.6239146999999998,9744
785,1.6370639999999999,9038
12298,1.6580903999999999,8603
169,1.6759294999999998,10245
3298,1.6862636999999998,9440
534,1.6866503000000002,9244
5478,1.6884848000000001,9517
1233,1.6885202000000001,8575
5155,1.6899273000000001,10485
8738,1.7004811000000002,9545
8727,1.7038592000000001,9517
512,1.7196988999999998,10141
507,1.7300096999999999,10391
2888,1.7333936999999997,9300
2222,1.7404686000000003,10223
695,1.7563582999999998,9723
1599,1.7624098000000001,9557
3800,1.7767546000000003,9456
1106,1.7905811000000003,9811
1357,1.7915888999999998,10082
5193,1.7991244999999998,9841
8809,1.8248654999999998,9071
5272,1.8259140999999999,10606
1267,1.8272182000000001,10020
4503,1.8329919999999997,10127
1198,1.8403683999999998,9972
44,1.8486133000000002,10281
342,1.8571023999999998,10097
3154,1.8598436999999999,10148
3423,1.8666851999999998,10820
7860,1.8713011999999998,9813
3156,1.9083078000000002,10214
3544,1.9254421999999998,10374
1751,1.9694166000000002,10027
12006,1.9733223000000002,10269
